Model,Horizon,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,F2
Calibrated Logistic,10,0.84,3062,0.05388634879163945,0.04212932723709994,0.9869366427171783,0.9844961240310077,0.7696969696969697,0.8639455782312925,0.9981161284923799,0.9693729949278823,2895,2,38,127,0.8048162230671736
Calibrated Logistic,10,0.85,3062,0.05388634879163945,0.04147615937295885,0.9862834748530372,0.984251968503937,0.7575757575757576,0.8561643835616438,0.9981161284923799,0.9693729949278823,2895,2,40,125,0.7941550190597204
Calibrated Logistic,10,0.86,3062,0.05388634879163945,0.040496407576747225,0.9853037230568256,0.9838709677419355,0.7393939393939394,0.8442906574394463,0.9981161284923799,0.9693729949278823,2895,2,43,122,0.778061224489796
Calibrated Logistic,10,0.87,3062,0.05388634879163945,0.03886348791639451,0.983670803396473,0.9831932773109243,0.7090909090909091,0.823943661971831,0.9981161284923799,0.9693729949278823,2895,2,48,117,0.7509627727856225
Calibrated Logistic,10,0.88,3062,0.05388634879163945,0.038536903984323974,0.9833442194644023,0.9830508474576272,0.703030303030303,0.8197879858657244,0.9981161284923799,0.9693729949278823,2895,2,49,116,0.7455012853470437
Calibrated Logistic,10,0.89,3062,0.05388634879163945,0.037883736120182886,0.9826910516002613,0.9827586206896551,0.6909090909090909,0.8113879003558719,0.9981161284923799,0.9693729949278823,2895,2,51,114,0.7345360824742269
Calibrated Logistic,10,0.9,3062,0.05388634879163945,0.03755715218811234,0.9823644676681907,0.9826086956521739,0.6848484848484848,0.8071428571428572,0.9981161284923799,0.9693729949278823,2895,2,52,113,0.729032258064516
Calibrated Logistic,10,0.91,3062,0.05388634879163945,0.037230568256041804,0.9820378837361202,0.9824561403508771,0.6787878787878788,0.8028673835125448,0.9981161284923799,0.9693729949278823,2895,2,53,112,0.7235142118863049
Calibrated Logistic,10,0.92,3062,0.05388634879163945,0.03527106466361855,0.980078380143697,0.9814814814814815,0.6424242424242425,0.7765567765567766,0.9981161284923799,0.9693729949278823,2895,2,59,106,0.6901041666666667
Calibrated Logistic,10,0.93,3062,0.05388634879163945,0.033964728935336384,0.9787720444154148,0.9807692307692307,0.6181818181818182,0.758364312267658,0.9981161284923799,0.9693729949278823,2895,2,63,102,0.6675392670157069
Calibrated Logistic,10,0.94,3062,0.05388634879163945,0.03363814500326584,0.9784454604833442,0.9805825242718447,0.6121212121212121,0.753731343283582,0.9981161284923799,0.9693729949278823,2895,2,64,101,0.6618610747051112
Calibrated Logistic,10,0.95,3062,0.05388634879163945,0.032658393207054215,0.9781188765512737,0.99,0.6,0.7471698113207547,0.9981161284923799,0.9693729949278823,2896,1,66,99,0.6513157894736843
Calibrated Logistic,20,0.05,3062,0.10287393860222077,0.17308948399738733,0.9297844546048334,0.5943396226415094,1.0,0.7455621301775148,0.9972553030434356,0.9764091058349069,2532,215,0,315,0.8798882681564246
Calibrated Logistic,20,0.06,3062,0.10287393860222077,0.16786414108425865,0.9350097975179621,0.6128404669260701,1.0,0.7599517490952955,0.9972553030434356,0.9764091058349069,2548,199,0,315,0.8878241262683202
Calibrated Logistic,20,0.07,3062,0.10287393860222077,0.16394513389941215,0.9389288047028086,0.6274900398406374,1.0,0.7711138310893513,0.9972553030434356,0.9764091058349069,2560,187,0,315,0.8938706015891033
Calibrated Logistic,20,0.08,3062,0.10287393860222077,0.16165904637491835,0.9412148922273024,0.6363636363636364,1.0,0.7777777777777778,0.9972553030434356,0.9764091058349069,2567,180,0,315,0.8974358974358974
Calibrated Logistic,20,0.09,3062,0.10287393860222077,0.15904637491835402,0.9438275636838668,0.6468172484599589,1.0,0.7855361596009975,0.9972553030434356,0.9764091058349069,2575,172,0,315,0.9015455065827132
Calibrated Logistic,20,0.1,3062,0.10287393860222077,0.15610711952971915,0.9467668190725016,0.6589958158995816,1.0,0.7944514501891551,0.9972553030434356,0.9764091058349069,2584,163,0,315,0.9062140391254315
Calibrated Logistic,20,0.11,3062,0.10287393860222077,0.15447419986936642,0.9483997387328543,0.6659619450317125,1.0,0.799492385786802,0.9972553030434356,0.9764091058349069,2589,158,0,315,0.9088286208886325
Calibrated Logistic,20,0.12,3062,0.10287393860222077,0.15153494448073154,0.9513389941214893,0.6788793103448276,1.0,0.8087291399229781,0.9972553030434356,0.9764091058349069,2598,149,0,315,0.9135730858468677
Calibrated Logistic,20,0.13,3062,0.10287393860222077,0.14826910516002612,0.9546048334421946,0.6938325991189427,1.0,0.8192457737321196,0.9972553030434356,0.9764091058349069,2608,139,0,315,0.9189031505250874
Calibrated Logistic,20,0.14,3062,0.10287393860222077,0.14663618549967342,0.9562377531025473,0.7015590200445434,1.0,0.824607329842932,0.9972553030434356,0.9764091058349069,2613,134,0,315,0.9215915740198947
Calibrated Logistic,20,0.15,3062,0.10287393860222077,0.14435009797517961,0.9585238406270411,0.7126696832579186,1.0,0.8322324966974901,0.9972553030434356,0.9764091058349069,2620,127,0,315,0.9253819036427733
Calibrated Logistic,20,0.16,3062,0.10287393860222077,0.14369693011103854,0.9591770084911823,0.7159090909090909,1.0,0.8344370860927153,0.9972553030434356,0.9764091058349069,2622,125,0,315,0.926470588235294
